transaction_id,timestamp,customer_id,customer_account_age_days,merchant_id,merchant_category,amount,payment_method,device_id,ip_address,card_id,city,is_fraud,fraud_scenario
tx_0000000,2026-01-01 00:12:13+00:00,cust_00843,623,merch_0011,fashion,2097.92,debit_card,dev_01747,198.51.89.34,card_02357,Jaipur,0,legitimate
tx_0000001,2026-01-01 00:12:20+00:00,cust_00309,932,merch_0110,electronics,9978.79,credit_card,dev_02109,198.51.26.170,card_00090,Kolkata,0,legitimate
tx_0000002,2026-01-01 00:33:30+00:00,cust_00125,649,merch_0012,food_delivery,1546.05,credit_card,dev_00083,198.51.125.110,card_00234,Lucknow,0,legitimate
tx_0000003,2026-01-01 01:14:12+00:00,cust_01219,324,merch_0146,luxury_goods,7306.78,credit_card,dev_02257,198.51.250.211,card_02172,Chennai,0,legitimate
tx_0000004,2026-01-01 01:35:07+00:00,cust_00410,130,merch_0026,travel,648.46,wallet,dev_01074,198.51.54.254,card_00233,Kolkata,0,legitimate
tx_0000005,2026-01-01 02:23:41+00:00,cust_00508,140,merch_0148,crypto_exchange,2010.51,credit_card,dev_01342,198.51.2.74,card_00499,Lucknow,0,legitimate
tx_0000006,2026-01-01 02:34:52+00:00,cust_01845,66,merch_0075,luxury_goods,12802.07,credit_card,dev_anom_6961,203.0.113.126,card_01319,Bengaluru,1,individual_anomaly
tx_0000007,2026-01-01 03:19:30+00:00,cust_01679,974,merch_0071,groceries,2493.9,upi,dev_02217,198.51.232.30,card_01957,Pune,0,legitimate
tx_0000008,2026-01-01 03:29:55+00:00,cust_01154,731,merch_0025,fashion,3802.35,wallet,dev_00963,198.51.121.91,card_02108,Hyderabad,0,legitimate
tx_0000009,2026-01-01 03:32:52+00:00,cust_01331,868,merch_0139,food_delivery,380.94,credit_card,dev_01043,198.51.180.213,card_02058,Lucknow,0,legitimate
tx_0000010,2026-01-01 03:37:07+00:00,cust_01432,481,merch_0120,digital_goods,768.48,credit_card,dev_00422,198.51.51.92,card_01892,Ahmedabad,0,legitimate
tx_0000011,2026-01-01 04:13:26+00:00,cust_01316,987,merch_0107,groceries,2935.33,debit_card,dev_02219,198.51.241.153,card_02153,Ahmedabad,0,legitimate
tx_0000012,2026-01-01 04:24:21+00:00,cust_00805,758,merch_0134,food_delivery,7608.71,credit_card,dev_01586,198.51.247.17,card_02321,Chennai,0,legitimate
tx_0000013,2026-01-01 04:25:24+00:00,cust_01979,132,merch_0147,groceries,4206.82,debit_card,dev_00738,198.51.107.218,card_01744,Lucknow,0,legitimate
tx_0000014,2026-01-01 04:32:41+00:00,cust_00399,123,merch_0027,fashion,1352.43,debit_card,dev_01150,198.51.175.128,card_01359,Hyderabad,0,legitimate
tx_0000015,2026-01-01 04:41:30+00:00,cust_01962,441,merch_0010,crypto_exchange,1391.78,credit_card,dev_00106,198.51.123.235,card_00297,Hyderabad,0,legitimate
tx_0000016,2026-01-01 04:44:42+00:00,cust_00504,957,merch_0006,travel,173.9,wallet,dev_00035,198.51.193.143,card_01629,Kolkata,0,legitimate
tx_0000017,2026-01-01 05:05:54+00:00,cust_01891,979,merch_0006,travel,1190.35,credit_card,dev_00853,198.51.19.147,card_01745,Ahmedabad,0,legitimate
tx_0000018,2026-01-01 05:08:30+00:00,cust_00623,564,merch_0003,fashion,1178.67,credit_card,dev_01636,198.51.27.248,card_00989,Chennai,0,legitimate
tx_0000019,2026-01-01 05:13:12+00:00,cust_01374,453,merch_0060,electronics,1808.79,netbanking,dev_00801,198.51.235.209,card_02024,Mumbai,0,legitimate
tx_0000020,2026-01-01 05:13:13+00:00,cust_01432,481,merch_0066,utility,1989.71,credit_card,dev_00422,198.51.239.233,card_01892,Ahmedabad,0,legitimate
tx_0000021,2026-01-01 05:24:49+00:00,cust_00959,510,merch_0012,food_delivery,4935.15,debit_card,dev_00226,198.51.30.125,card_00549,Lucknow,0,legitimate
tx_0000022,2026-01-01 05:30:16+00:00,cust_00745,788,merch_0111,food_delivery,3150.56,credit_card,dev_01238,198.51.177.69,card_02400,Pune,0,legitimate
tx_0000023,2026-01-01 05:34:42+00:00,cust_00361,709,merch_0056,crypto_exchange,49064.12,credit_card,dev_anom_8732,203.0.113.188,card_02248,Pune,1,individual_anomaly
tx_0000024,2026-01-01 05:49:12+00:00,cust_01309,435,merch_0026,travel,910.35,wallet,dev_00152,198.51.24.54,card_02071,Jaipur,0,legitimate
